future_horizon_6,future_horizon_12,future_horizon_18,future_horizon_24,future_horizon_30,future_horizon_36,future_horizon_42,future_horizon_48,future_horizon_54,future_horizon_60,future_horizon_66,future_horizon_72
17.04846,38.09393,82.78884,117.92966,153.05591,184.71979,207.11342,214.05078,208.56897,208.83984,219.17052,224.7019
53.232433,106.50003,174.56021,309.99136,452.82922,600.0125,686.0837,808.27795,961.68756,1093.9099,1007.2631,1025.6761
30.945848,69.216705,112.028656,146.19814,173.02243,201.18063,217.69305,222.96756,241.29163,245.2826,250.86609,258.40277
7.508639,20.76542,39.472965,59.423073,80.35845,106.47171,125.76525,147.07858,160.21834,176.84875,186.17487,165.54369
26.899714,57.123943,83.37429,110.998726,151.97777,190.55966,227.53049,267.02924,310.4755,348.90912,381.3342,391.26633
18.7729,32.831852,36.25866,32.979073,34.20524,47.92061,66.22625,83.89957,92.81118,130.76205,187.14603,240.22903
10.876182,24.533527,51.22652,84.43782,125.135414,156.66124,195.98784,231.13345,274.2892,315.41318,332.98083,347.0562
7.4448256,5.129421,23.328186,34.063763,54.183205,75.45158,80.2951,74.08655,58.879635,46.071507,42.793312,55.219402
5.3836017,14.734407,27.056477,47.728603,81.11939,122.850845,161.70761,199.2223,228.51778,241.82898,254.96632,306.83398
46.24895,77.73587,105.942345,156.47377,196.65208,220.34439,360.92694,456.7993,531.04663,643.8454,748.61285,780.1767
22.75591,48.925533,90.52803,123.69587,154.33136,186.98465,203.72784,220.80142,228.01677,218.129,200.1332,194.49733
10.684347,28.06263,42.1537,64.08236,77.9371,94.00231,105.63169,98.53044,102.42748,115.55952,119.640434,127.99398
3.6067352,11.217261,14.926825,33.248905,58.392662,81.57329,108.25538,152.18358,191.53395,217.25194,226.23184,232.70952
24.72941,53.151756,90.37425,143.26167,217.29855,299.27902,382.30353,433.27982,512.3169,599.6308,678.6415,746.7761
7.7179847,33.22984,74.004814,133.97873,188.0338,224.66473,244.43356,270.52097,290.09677,302.76788,305.1647,269.47577
22.60959,44.790913,62.732838,85.85378,112.085526,153.01965,199.58116,268.44583,360.3525,462.78635,543.3395,611.64886
15.188766,26.278456,33.198807,62.282658,74.07651,129.84644,172.45158,226.79617,260.09348,287.98422,303.7863,303.83685
25.10147,31.575178,51.401176,77.36409,112.62912,125.22476,123.379395,106.26497,77.95497,56.673943,65.83089,90.621826
16.787079,4.3540325,20.737871,38.30316,73.42983,121.19119,176.21753,225.02805,261.5828,287.1058,329.4214,382.53964
11.889054,27.274847,46.296158,72.99479,98.37283,126.488525,149.98112,171.7683,185.10992,190.21129,194.38617,197.71906
20.093271,48.248734,86.91438,128.24817,180.6827,232.37668,290.32422,342.45782,396.88077,450.24673,504.59332,573.7027
