future_horizon_6,future_horizon_12,future_horizon_18,future_horizon_24,future_horizon_30,future_horizon_36,future_horizon_42,future_horizon_48,future_horizon_54,future_horizon_60,future_horizon_66,future_horizon_72
25.250168,27.210318,15.28893,14.739065,79.089874,87.71246,151.41676,164.87218,356.59875,249.73906,257.07214,459.79907
23.548712,88.9026,27.11155,82.75316,28.561178,83.26132,27.824112,101.713486,105.765854,127.17332,90.9911,100.37764
8.885385,21.7631,43.71227,42.301014,65.5132,66.7837,120.02255,23.735998,123.788864,218.6745,25.712965,26.50208
4.7115793,44.067184,29.798698,105.77903,195.59575,220.80779,208.83516,119.36958,151.94888,362.62332,288.47745,278.81082
52.356895,71.20517,107.30352,98.00673,118.53992,66.00655,82.47304,187.96439,112.789215,109.49592,112.391426,211.25896
12.400481,61.826015,61.055958,111.211815,151.3987,234.71277,265.30853,224.48915,448.90424,389.7102,516.67737,529.27203
41.447002,28.724777,74.36989,85.63854,7.62304,37.25258,22.944582,45.753914,139.00105,127.18704,80.918785,249.40001
11.071997,38.669933,35.53033,78.92022,108.3245,235.29329,100.18725,190.90822,203.71909,128.0678,241.60364,241.60196
13.188879,22.824053,73.69208,106.88075,198.78209,285.0982,266.82263,205.90402,282.9232,365.07114,352.48975,232.58482
36.256702,68.05683,79.26666,84.42004,82.955536,170.23296,399.08615,416.55582,453.39584,595.19464,573.6166,589.19946
25.204548,14.814479,71.43826,59.51054,94.04892,141.80013,349.6202,367.7369,323.51987,297.36026,308.0582,258.38715
45.34406,59.227207,60.572945,52.27433,209.99687,204.47554,183.90503,164.65228,346.1344,264.26495,338.02063,437.2134
30.496096,32.771908,12.831995,34.23532,81.580635,42.51134,49.05846,88.11066,22.041304,111.348495,139.45486,98.903175
25.316093,47.742676,59.913113,53.354015,16.253529,148.59653,131.3951,140.31403,84.63248,110.72819,373.8746,265.05368
65.9215,112.97312,153.26039,326.82693,262.14093,388.48535,356.86148,544.6589,645.6073,687.3539,765.70844,669.59125
70.17813,115.89417,132.98225,140.92357,217.117,409.73987,454.13385,693.5055,361.29837,405.35858,340.7755,268.04037
44.94004,44.036694,113.93707,44.80721,172.15128,129.12204,251.03618,196.24428,96.57724,111.89295,173.9133,63.021553
34.988987,23.378412,86.4343,87.79768,45.61786,80.69001,127.61581,163.27759,265.10138,337.0916,97.10181,225.74889
7.170935,22.904089,39.270317,44.941288,141.54254,85.71928,131.22052,250.03606,264.8279,278.48187,390.05878,392.55716
17.269419,39.932945,38.972828,50.970078,4.987146,79.6788,61.980633,16.03484,42.88829,59.51777,129.54652,212.24866
